Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Included rule,,,,,,,Yes
,,,HCPCS,J0759,"Injection, clevidipine butyrate, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0750,"Emtricitabine 200mg and tenofovir disoproxil fumarate 300mg, oral, fda approved prescription, only for use as hiv pre-exposure prophylaxis (not for use as treatment of hiv)",Included rule,,,,,,,Yes
,,,HCPCS,J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Included rule,,,,,,,Yes
,,,HCPCS,J0802,"Injection, corticotropin (ani), up to 40 units",Included rule,,,,,,,Yes
,,,HCPCS,J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Included rule,,,,,,,Yes
,,,HCPCS,J0890,"Injection, peginesatide, 0.1 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0650,"Injection, levothyroxine sodium, not otherwise specified, 10 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J0640,"Injection, leucovorin calcium, per 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0605,"Sucroferric oxyhydroxide, oral, 5 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0607,"Lanthanum carbonate, oral, 5 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Included rule,,,,,,,Yes
,,,HCPCS,Q9968,"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q9964,"High osmolar contrast material, 400 or greater mg/ml iodine concentration, per ml",Included rule,,,,,,,Yes
,,,HCPCS,Q9966,"Low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml",Included rule,,,,,,,Yes
,,,HCPCS,Q5141,"Injection, adalimumab-aaty, biosimilar, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5142,"Injection, adalimumab-ryvk biosimilar, 1 mg",Included rule,,,,,,,Yes
